name;numeric_id;
Bünde (Westf.);682187;
Detmold;134619;
Herdord;237327;
Horn-Bad Meinberg;134585;
Leopoldstal;339572;
Löhne (Westf.);135897;
Minden-Aminghausen;501064;
Barntrup;134783;
Hartrum;501320;
Hille (West.) Hafen;501361;
Minden (West.);135780;
Minden-Osthafen;501023;
Minden-Oberstadt;501098;
Peine-Ost;529016;
Preußisch Oldendorf;578104;
Remminghausen (Lippe);134593;
Bad Honnef (Rhein);155853;
Bad Hönningen;194852;
Bonn;154864;
Bonn Beuel;856278;
Bonn Beuel Industriebahn;411017;
Derkum;154245;
Euskirchen;154278;
Friedrich Wilhelmshüte;155754;
Königswinter;155820;
Meckenheim (Bz. Köln);155234;
Troisdorf;155721;
Troisdorf West;544015;
Aachen Nord;153692;
Aachen Rothe Erde;153437;
Düren;153312;
Herzogenrath;151902;
Oberbruch (Rheinl.);152132;
Stolberg (Rheinl.) Hbf;153395;
Dormagen;153080;
Kaldenkirchen;151316;
Mönchengladbach-Rheindalen;152181;
Neuss ;151522;
Neuss Hessentor;509612;NDH
Nievenheim;153072;
Ratingen West;81281;
Rheydt Gbf;151720;
Rheydt Geneicken;153222;
Rommerskirchen;153007;
Viersen;151225;
Brühl;154815;
Brühl-Vochem;480046;
Frechen;480053;
Hürth Knapsack;480418;
Hürth-Kalscheuren;154807;
Köln Bbf;154617;
Köln Bonntor;154716;
Köln Eifeltor;154781;SBB
Köln Deutzerfeld;155556;
Köln Eifeltor Ubf;154799;
Köln Deutz Hafen;480103;
Köln Godorf Hafen;480137;
Köln Kalk Nord;155515;
Köln Mülheim;155440;
Köln Niehl;480186;
Sindorf;861542;
Wesseling;480210;
Bergisch Gladbach;156398;
Gremberg;155655;
Leverkusen Bayerwerk;505057;
Leverkusen Schlebusch;081877;
Opladen;081869;
Porz (Rhein);155689;
Wiehl;856856;
Flandersbach;081711;
Langenfeld (Rheinl.);081182;
Remscheid Hbf;084541;
Remscheid Bliedinhausen;084566;
Remscheid Güldenwerth;084590;
Remscheid Lüttringhausen;084509;
Solingen Ohligs;081828;
Wuppertal Hbf;081448;
Wuppertal Langerfeld;081455;
Brügge (Westf.);083758;
Hagen Gbf;080721;Railport
Hagen Eckesey;080267;
Hagen Halden;082933;
Hagen Kabel;082941;
Hagen Vorhalle;080663;
Hohenlimburg;082925;
Krummenerl;083873;
Letmathe;082909;Railport
Menden (Sauerland);082222;
Plettenberg;082750;
Plettenberg Mitte;530030;
Rummenohl;083725;
Schwerte (Ruhr);080168;
Schwerte (Ruhr) Ost;082099;
Werdohl Elverlingsen;358838;
Wickede (Ruhr);082032;
Witten Hbf;100925;
Altenkirchen (Westerwald);195289;
Betzdorf (Sieg);197723;
Bindweide;569046;
Burbach (Kr. Siegen);115899;
Daaden;456046;
