numeric_id,name
8000001,Aachen Hbf
8000002,Aalen
8000003,Furth i Wald(Gr)
8000004,Altenbeken
8000007,Alzey
8000008,Kehl(Gr)
8000009,Ansbach
8000010,Aschaffenburg Hbf
8000011,Ascheberg(Holst)
8000012,Au(Sieg)
8000013,Augsburg Hbf
8000014,Aulendorf
8000015,Babenhausen(Hess)
8000016,Backnang
8000017,Bad Friedrichshall-Jagstfeld
8000019,Bad Harzburg
8000020,Bad Hersfeld
8000021,Bad Kreuznach
8000022,Bad Nenndorf
8000023,Bad Oldesloe
8000025,Bamberg
8000026,Basel Bad Bf
8000027,Schwandorf
8000028,Bayreuth Hbf
8000029,Bebra
8000030,Bedburg(Erft)
8000031,Bensheim
8000032,Schweinfurt Hbf
8000033,Schwelm
8000034,Betzdorf(Sieg)
8000036,Bielefeld Hbf
8000037,Schwerte(Ruhr)
8000038,Bietigheim-Bissingen
8000039,Bingen(Rhein) Hbf
8000040,Bocholt
8000041,Bochum Hbf
8000042,Seckach
8000043,Seesen
8000044,Bonn Hbf
8000045,Boppard Hbf
8000046,Siegen
8000047,Bottrop Hbf
8000048,Brackwede
8000049,Braunschweig Hbf
8000050,Bremen Hbf
8000051,Bremerhaven Hbf
8000053,Bretten
8000054,Brilon Wald
8000055,Bruchsal
8000056,Buchholz(Nordheide)
8000057,Buchloe
8000058,Büchen
8000059,Bünde(Westf)
8000060,Siershahn
8000061,Burg-u. Nieder Gemünden
8000062,Steinfurt-Burgsteinfurt
8000063,Calw
8000064,Celle
8000065,Cölbe
8000066,Coesfeld(Westf)
8000067,Crailsheim
8000068,Darmstadt Hbf
8000069,Sigmaringen
8000070,Delmenhorst
8000071,Derneburg(Han)
8000072,Simbach(Inn)
8000073,Singen(Hohentwiel)
8000074,Dillenburg
8000075,Dillingen(Saar)
8000076,Soest
8000077,Donaueschingen
8000078,Donauwörth
8000079,Puttgarden(MS)
8000080,Dortmund Hbf
8000081,Dortmund-Dorstfeld
8000082,Düsseldorf Flughafen
8000083,Dülmen
8000084,Düren
8000085,Düsseldorf Hbf
8000086,Duisburg Hbf
8000087,Solingen Hbf
8000088,Soltau(Han)
8000089,Stade
8000090,Eichenberg
8000091,Steinach(b Rothenb)
8000092,Elmshorn
8000093,Elze(Han)
8000094,Engers
8000095,Straubing
8000096,Stuttgart Hbf
8000098,Essen Hbf
8000099,Essen-Steele
8000100,Euskirchen
8000101,Eutingen im Gäu
8000102,Finnentrop
8000103,Flensburg
8000104,Frankenberg(Eder)
8000105,Frankfurt(Main)Hbf
8000106,Frankfurt-Höchst
8000107,Freiburg(Breisgau) Hbf
8000108,Freilassing
8000110,Freudenstadt Hbf
8000111,Friedberg(Hess)
8000112,Friedrichshafen Stadt
8000113,Fröndenberg
8000114,Fürth(Bay)Hbf
8000115,Fulda
8000116,Traunstein
8000117,Gelnhausen
8000118,Gelsenkirchen Hbf
8000119,Geltendorf
8000120,Gemünden(Main)
8000121,Gensingen-Horrweiler
8000122,Treuchtlingen
8000123,Gerolstein
8000124,Gießen
8000125,Gladbeck West
8000126,Riedstadt-Goddelau
8000127,Göppingen
8000128,Göttingen
8000129,Treysa
8000130,Goslar
8000131,Graben-Neudorf
8000132,Grävenwiesbach
8000133,Grevenbroich
8000134,Trier Hbf
8000135,Troisdorf
8000136,Groß Gerau
8000137,Grünstadt
8000138,Gruiten
8000139,Günzburg
8000140,Baunatal-Guntershausen
8000141,Tübingen Hbf
8000142,Hagen Hbf
8000143,Weil am Rhein-Gartenstadt
8000144,Türkheim(Bay)Bf
8000145,Haltern am See
8000146,Weil am Rhein-Pfädlistraße
8000147,Hamburg-Harburg
8000148,Hameln
8000149,Hamm(Westf)
8000150,Hanau Hbf
8000151,Bad Bentheim(Gr)
8000152,Hannover Hbf
8000153,Weener(Gr)
8000154,Türkismühle
8000155,Heide(Holst)
8000156,Heidelberg Hbf
8000157,Heilbronn Hbf
8000158,Nidderau
8000159,Helmstedt
8000160,Herbertingen
8000161,Herborn(Dillkr)
8000162,Herford
8000163,Tuttlingen
8000164,Herne
8000165,Hervest-Dorsten
8000166,Herzberg(Harz)
8000167,Hesepe
8000168,Uelzen
8000169,Hildesheim Hbf
8000170,Ulm Hbf
8000171,Unna
8000172,Höchst(Odenw)
8000173,Wunsiedel-Holenbrunn
8000174,Viersen
8000175,Völklingen
8000176,Homburg(Saar)Hbf
8000177,Horb
8000178,Horrem
8000180,Waiblingen
8000181,Husum
8000182,Immendingen
8000183,Ingolstadt Hbf
8000185,Gifhorn
8000186,Iserlohn
8000187,Wallau(Lahn)
8000189,Kaiserslautern Hbf
8000190,Kaldenkirchen
8000191,Karlsruhe Hbf
8000192,Wanne-Eickel Hbf
8000193,Kassel Hbf
8000194,Kaufbeuren
8000195,Kaufering
8000196,Warburg(Westf)
8000197,Kempten(Allgäu)Hbf
8000198,Kettwig
8000199,Kiel Hbf
8000201,Kirchenlaibach
8000203,Kißlegg
8000204,Weiden(Oberpf)
8000205,Kleve
8000206,Koblenz Hbf
8000207,Köln Hbf
8000208,Köln-Ehrenfeld
8000209,Köln-Mülheim
8000210,Korbach
8000211,Krefeld Hbf
8000212,Krefeld-Oppum
8000213,Kreiensen
8000214,Kreuztal
8000215,Lage(Lippe)
8000216,Landau(Pfalz)Hbf
8000217,Landshut(Bay)Hbf
8000218,Weilburg
8000220,Weilheim(Oberbay)
8000221,Lauda
8000222,Lauterbach(Hess)Nord
8000225,Leer(Ostfriesl)
8000226,Lehrte
8000227,Letmathe
8000228,Lichtenfels
8000229,Limburg(Lahn)
8000230,Lindau Hbf
8000231,Wertheim
8000233,Löhne(Westf)
8000234,Lollar
8000235,Ludwigsburg
8000236,Ludwigshafen(Rh)Hbf
8000237,Lübeck Hbf
8000238,Lüneburg
8000239,Lünen Hbf
8000240,Mainz Hbf
8000241,Mainz-Bischofsheim
8000242,Wesel
8000243,Malsfeld
8000244,Mannheim Hbf
8000245,Westerburg
8000247,Marktredwitz
8000248,Mayen Ost
8000249,Memmingen
8000250,Wiesbaden Hbf
8000251,Witten Hbf
8000252,Minden(Westf)
8000253,Mönchengladbach Hbf
8000254,Wörth(Rhein)
8000255,Wolfenbüttel
8000256,Rohrbach(Ilm)
8000257,Worms Hbf
8000258,Mühldorf(Oberbay)
8000259,Mülheim(Ruhr)Hbf
8000260,Würzburg Hbf
8000261,München Hbf
8000262,München Ost
8000263,Münster(Westf)Hbf
8000264,Mosbach-Neckarelz
8000265,Neckargemünd
8000266,Wuppertal Hbf
8000267,Neuenmarkt-Wirsberg
8000268,Wunstorf
8000269,Neukirchen(b Sulzb)
8000271,Neumünster
8000272,Neunkirchen(Saar)Hbf
8000273,Muldenberg Floßplatz
8000274,Neuss Hbf
8000275,Neustadt(Weinstr)Hbf
8000276,Neuwied
8000277,Nidda
8000278,Niederlahnstein
8000279,Nienburg(Weser)
8000280,Nördlingen
8000281,Frankfurt(M)Flughafen
8000282,Nordstemmen
8000283,Northeim(Han)
8000284,Nürnberg Hbf
8000285,Rödermark-Ober Roden
8000286,Oberhausen Hbf
8000287,Oberkotzau
8000288,Wiesbaden-Biebrich
8000289,Zwickau Zentrum
8000290,Offenburg
8000291,Oldenburg(Oldb)
8000292,Zwickau Stadthalle
8000294,Osnabrück Hbf
8000295,Osterburken
8000297,Paderborn Hbf
8000298,Passau Hbf
8000299,Pforzheim Hbf
8000301,Plattling
8000302,Plochingen
8000303,Igel(Gr)
8000304,Quakenbrück
8000306,Rastatt
8000307,Recklinghausen Hbf
8000308,Ludwigshafen(Rhein) BASF Mitte
8000309,Regensburg Hbf
8000310,Remagen
8000311,Remscheid-Lennep
8000312,Rendsburg
8000313,Renningen
8000314,Reutlingen Hbf
8000315,Rheda-Wiedenbrück
8000316,Rheine
8000317,Rheinhausen
8000318,Rheydt Hbf
8000319,Rohrbach(Saar)
8000320,Rosenheim
8000321,Rotenburg(Wümme)
8000322,Rottweil
8000323,Saarbrücken Hbf
8000324,Boppard Süd
8000325,Salzgitter-Ringelheim
8000326,Schifferstadt
8000328,Schnabelwaid
8000329,Schwäbisch Gmünd
8000330,Schwäbisch Hall-Hessental
8000331,Andernach
8000332,Frankenthal Hbf
8000333,Hausach
8000334,Jübek
8000335,Leese-Stolzenau
8000336,Leutkirch
8000337,Marburg(Lahn)
8000338,Mindelheim
8000339,Mühlacker
8000342,Weetzen
8000343,Schöneck(Vogtl) Ferienpark
8000344,Wittingen
